sample	error_type	predictors	p_value
natural_sample_1_with_90_vpm_sliding	test	cTiter_x	0.0078
natural_sample_1_with_90_vpm_sliding	test	cTiter_x-ne_star	0.0097
natural_sample_1_with_90_vpm_sliding	test	cTiter_x-ne_star-lbi	0.0115
natural_sample_1_with_90_vpm_sliding	test	delta_frequency	0.5845
natural_sample_1_with_90_vpm_sliding	test	dms_star	0.9791
natural_sample_1_with_90_vpm_sliding	test	ep_star-ne_star	0.1003
natural_sample_1_with_90_vpm_sliding	test	ep_x	0.3074
natural_sample_1_with_90_vpm_sliding	test	ep_x-ne_star	0.12
natural_sample_1_with_90_vpm_sliding	test	lbi	0.9933
natural_sample_1_with_90_vpm_sliding	test	ne_star	0.107
natural_sample_1_with_90_vpm_sliding	test	ne_star-lbi	0.9156
natural_sample_1_with_90_vpm_sliding	validation	cTiter_x	0.0153
natural_sample_1_with_90_vpm_sliding	validation	cTiter_x-ne_star	0.0002
natural_sample_1_with_90_vpm_sliding	validation	cTiter_x-ne_star-lbi	0.0005
natural_sample_1_with_90_vpm_sliding	validation	delta_frequency	0.0263
natural_sample_1_with_90_vpm_sliding	validation	dms_star	0.8482
natural_sample_1_with_90_vpm_sliding	validation	ep_star-ne_star	0.834
natural_sample_1_with_90_vpm_sliding	validation	ep_x	0.9997
natural_sample_1_with_90_vpm_sliding	validation	ep_x-ne_star	0.9678
natural_sample_1_with_90_vpm_sliding	validation	lbi	0.0056
natural_sample_1_with_90_vpm_sliding	validation	ne_star	0.014
natural_sample_1_with_90_vpm_sliding	validation	ne_star-lbi	0.0004
simulated_sample_3	test	delta_frequency	0.0354
simulated_sample_3	test	ep_star-ne_star	0.0
simulated_sample_3	test	ep_x	0.45
simulated_sample_3	test	ep_x-ne_star	0.0
simulated_sample_3	test	lbi	0.0
simulated_sample_3	test	lbi-ne_star	0.0
simulated_sample_3	test	ne_star	0.0
simulated_sample_3	test	normalized_fitness	0.0
simulated_sample_3	validation	delta_frequency	0.0
simulated_sample_3	validation	ep_star-ne_star	0.0
simulated_sample_3	validation	ep_x	0.8849
simulated_sample_3	validation	ep_x-ne_star	0.0
simulated_sample_3	validation	lbi	0.0
simulated_sample_3	validation	lbi-ne_star	0.0
simulated_sample_3	validation	ne_star	0.0
simulated_sample_3	validation	normalized_fitness	0.0
